[200] http://192.168.135.121/admin/                                                                            [Words:4, Size:56, Lines:1] 
[200] http://192.168.135.121/index.php?r=students/guardians/create&id=1%22%3E%3Cscript%3Ealert%28document.domain%29%3C%2Fscript%3E  [Words:508, Size:6741, Lines:159] 
[200] http://192.168.135.121/index.php?appservlang=%3Csvg%2Fonload=confirm%28%27xss%27%29%3E                   [Words:508, Size:6741, Lines:159] 
[200] http://192.168.135.121/index.php?redirect=/\/evil.com/                                                   [Words:508, Size:6741, Lines:159] 
[200] http://192.168.135.121/index.php/admin/                                                                  [Words:508, Size:6741, Lines:159] 
[200] http://192.168.135.121/index.php?redirect=//evil.com                                                     [Words:508, Size:6741, Lines:159] 
[200] http://192.168.135.121/index.php                                                                         [Words:508, Size:6741, Lines:159] 
[301] http://192.168.135.121/assets                                                                            [Words:20, Size:319, Lines:10] 
[403] http://192.168.135.121/.ht_wsr.txt                                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.hta                                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess                                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess-dev                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess-marco                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.BAK                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.bak                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.bak1                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.inc                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.old                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.orig                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.sample                                                                  [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.save                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.swp                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess/                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccessBAK                                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccessOLD2                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess-local                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess.txt                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccessOLD                                                                      [Words:20, Size:280, Lines:10] 
[301] http://192.168.135.121/javascript                                                                        [Words:20, Size:323, Lines:10] 
[403] http://192.168.135.121/.htaccess_extra                                                                   [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess_orig                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess_sc                                                                      [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htf                                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htaccess~                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htgroup                                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htm                                                                              [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.html                                                                             [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswd                                                                         [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswd-old                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswd.bak                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswd.inc                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswd/                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswd_test                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswds                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.httpd.conf                                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.httr-oauth                                                                       [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htpasswrd                                                                        [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/.htusers                                                                          [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/server-status/                                                                    [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/server-status?full&showmodulestate                                                [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/server-status                                                                     [Words:20, Size:280, Lines:10] 
[403] http://192.168.135.121/server-status?full                                                                [Words:20, Size:280, Lines:10] 
[301] http://192.168.135.121/vendor                                                                            [Words:20, Size:319, Lines:10] 
[200] http://192.168.135.121/vendor/autoload.php                                                               [Words:1, Size:0, Lines:1] 
[301] http://192.168.135.121/vendor/composer                                                                   [Words:20, Size:328, Lines:10] 
[200] http://192.168.135.121/vendor/composer/ClassLoader.php                                                   [Words:1, Size:0, Lines:1] 
[200] http://192.168.135.121/vendor/composer/LICENSE                                                           [Words:153, Size:1070, Lines:22] 
[200] http://192.168.135.121/vendor/composer/autoload_classmap.php                                             [Words:1, Size:0, Lines:1] 
[200] http://192.168.135.121/vendor/composer/autoload_files.php                                                [Words:1, Size:0, Lines:1] 
[200] http://192.168.135.121/vendor/composer/autoload_namespaces.php                                           [Words:1, Size:0, Lines:1] 
[200] http://192.168.135.121/vendor/composer/autoload_psr4.php                                                 [Words:1, Size:0, Lines:1] 
[200] http://192.168.135.121/vendor/composer/autoload_real.php                                                 [Words:1, Size:0, Lines:1] 
[200] http://192.168.135.121/vendor/composer/autoload_static.php                                               [Words:1, Size:0, Lines:1] 
[200] http://192.168.135.121/vendor/composer/installed.json                                                    [Words:5256, Size:11675, Lines:340] 
[301] http://192.168.135.121/admin                                                                             [Words:20, Size:318, Lines:10] 
